Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","470nF/50V","C_0603_1608Metric",149.225000,-92.710000,0.000000,top
"C2","100µF/16V","CP_EIA-7343-31_Kemet-D",149.225000,-103.505000,0.000000,top
"F1","16V/5A","Fuse_1812_4532Metric",135.890000,-92.075000,90.000000,top
"IC1","LM2940IMP-5.0_NOPB","SOT230P700X180-4N",149.225000,-97.155000,0.000000,top
"Q1","DMG9926USD-13","SOIC127P600X175-8N",147.320000,-74.930000,0.000000,top
"Q2","DMG9926USD-13","SOIC127P600X175-8N",147.320000,-81.280000,0.000000,top
"Q3","DMG9926USD-13","SOIC127P600X175-8N",147.320000,-87.630000,0.000000,top
"R1","10k","R_0402_1005Metric",137.160000,-98.425000,0.000000,top
"R2","10k","R_0402_1005Metric",137.160000,-96.520000,0.000000,top
"R3","10k","R_0402_1005Metric",142.240000,-92.710000,90.000000,top
"R4","10k","R_0402_1005Metric",138.430000,-87.630000,90.000000,top
"R9","10k","R_0402_1005Metric",142.240000,-80.645000,90.000000,top
"R10","10k","R_0402_1005Metric",142.240000,-75.565000,-90.000000,top
"R11","10k","R_0402_1005Metric",138.430000,-84.455000,90.000000,top
"R12","10k","R_0402_1005Metric",138.430000,-78.105000,-90.000000,top
"R13","10k","R_0402_1005Metric",138.430000,-74.295000,90.000000,top
"R14","10k","R_0402_1005Metric",138.430000,-71.755000,-90.000000,top
